COMPOSER,ARRANGER,TITLE,MEDIUM,CATEGORY,SHELF_X,PUBLISHER,DATE_ADDED,PERFORMED
"Croce, J","Polster, I",Ill have to say I love you in sg,we,,0919,,,
Curnow,,Amer Triptych,we,,1283,Jenson,,
Curnow,,Canticle of the Creatures,we,,1220,Jenson,,
Curnow,,Celebration Variations,we,,1469,Curnow Music,2000/07,
Curnow,,Ceremonial Flourishes,we,,1324,Jenson,,
Curnow,,Chorale Masters,we,,1274,Jenson,,
Curnow,,Christmas Carillon,we/xmas,,1456,Curnow Music,2000/02,
Curnow,,Collage for Band,we,,1151,Volkwein,,
Curnow,,"Fanfare Prelude on ""Joy to the W",we/xmas,,1420,Jenson Publica,2000/02,
Curnow,,Fant on a Southern Folk Hymn,we,,1335,Jenson,,
Curnow,,Flirtations for Flute,we,,1532,Curnow,2003/04,
Curnow,,God of our Fathers (Fan/Pre),we,overture,1208,Jenson,,
Curnow,,Interval Studies,we,,1565,Curnow,2004/05,
Curnow,,Mutanza,we,,1215,Jenson,,
Curnow,,Overture to a Winter Festival,we/xmas,,1434,Curnow Music,2000/02,
Curnow,,Partita for Band,we,,1329,Jenson,,
Curnow,,Rejouissance,we,,1326,Jenson,,
Curnow,,Tone Studies for Band,we,,1566,Curnow,2004/05,
Curnow,,Var in Memoriam,we,,1130,Studio P/R,,
"Cuthbert, D",,Men at Work,we,march size,0609,Belwin,,
"Cuthbert, D",,Romance in Toyland,we,march size,0610,Belwin,,
"Cuthbert, D",,Womans Work is Never Done,we,march size,0612,Belwin,,
Darce,,Daisy Bell,we,march size,0591,Ascher,,
David/Hoffman/Livi,,Bibbidi-Bobbidi-Boo,we,march size,0359,Walt Disney,,
David/Hoffman/Livi,,Dream is a wish Your Hearts Make,we,march size,0360,Walt Disney,,
Davis,"Cook, P","Believe in Music, I",we,elem band,1119,Screen Gems,,
"De Koven, R",,Recessional,we,march size,0587,Church,,
Debussy,Longfield,"Engulfed Cathedral, The",we,,1298,Birch Island,,
Debussy,Curnow,Golliwogg's Cakewalk,we,,1311,Jenson,,
"DeCamp, C",,Concerto for Drum Set,we+drum,feature,1058,Studio P-R,,
DeCosta,Henderson,Tuba Tiger Rag,we,,1495,Hal Leonard,2001/03,
"Dedrich, A",,Mrch of the Missile Men,we,elem band,0803,Kendor,,
Del Borgo,,Aztec Theme & Dance,we,,1299,Kendor,,
Del Borgo,,Chant Variants,we,,1245,Jenson,,
Del Borgo,,Do Not Go Gentle Into That Good,we,,1178,Shawnee,,
Del Borgo,,Music for Winds + Perc,winds/perc,,0944,Shawnee,,
Del Borgo,,Ov for Winds,we,overture,1216,Shawnee,,
Del Borgo,,"Prelude, Passacaglia, & Fugue",we,,1263,Jenson,,
Del Borgo,,Prologue & Dance,we,,1180,Jenson,,
Del Borgo,,Rituale,we,,1244,Shawnee,,
Del Borgo,,Slavonic Dances,we,,1534,Curnow,2003/04,
Delle Cese,,Little Eng. Girl,we/march,march,0849,Pagani & Bros.,,
Dello Joio,,"""Louvre""(Scenes)",we,,1160,Marks/Belwin,,
Dello Joio,,Concertante for Wind Ensemble,we,,0903,Belwin Mills,,
Dello Joio,,Fantasies on a Theme by Hayde,we,,1191,Belwin Mills,,
Dello Joio,,From Every Horizon,we,,0558,Marks,,
Dello Joio,,Satiric Dances,we,,0991,Associated,,
Dello Joio,,Songs of Abelard,we,feature,0785,Marks Music,,
Dello Joio,,Variants on a Mediaeval Tune,we,,0289,Marks,,
DeLucas,Roberts,Beautiful Colorado,we+brass,feature,0043,Fischer,,
DeNardis,Cafarella,"Universal Judgement, The",we,,0044,Fischer,,
Denza,Reed,Funiculi Funicula,we,,1409,Birch Island,2000/02,
DeRose,Yoder,Colorama,we,,0045,Robbins,,
DeRose,Leidzen,Deep Purple,we,,0046,Robbins,,
Deutsch/Altman,Briegel,"Play, Fiddle Play",we,march size,0361,Marks,,
di Capua,"Alford, H","Maria, Mari!",we,march size,0350,Kjos,,
"Diamond, N","Gold, M",Neil Diamond in Concert,we+ch,,0926,Alfred,,
Diemer,,"Brass Menagerie, The",we,,0740,Mills,,
Dillon,,Trooping the Line,we,march size,0362,Dillon,,
Dohnanyi,,Rhapsody,we,,0047,,,
Donaldson,,Little White Lies,we,march size,0363,Leonard,,
"Donaldson, W",Sciacca,"Must be a silver lining, There",we,march size,0602,Feist,,
"Donaldson, W",Sciacca,"Ohio Home, My",we,march size,0600,Feist,,
Donaldson/Ash,Sciacca,Just Once Again,we,march size,0584,Feist,,
Donato,,"Hidden Fortress, The",we,,0048,Boosey +Hawkes,,
Donizetti,Townsend,Mrch for The Sultan Abdul Medjid,we/march,,0677,Mercury,,
Drumm,Clark,"Conqueror's March, The",we/march,march,0049,Schirmer,,
Dubin/Franklin,Yoder,"Anniversary March, The",we/march,march size,0364,Mayfair,,
Duble,,Bravura,we/march,march size,0366,Church,,
"Duffy, Thomas",,Snakes,we,,1521,Ludwig Music,,
