COMPOSER,ARRANGER,TITLE,MEDIUM,CATEGORY,SHELF_X,PUBLISHER,DATE_ADDED,PERFORMED
Rossini,Mackie-Beyer,William Tell,we,overture,0284,Pepper,,
Rossini,Longfield,William Tell Overture (Finale),we,,1480,C.L. Barhouse,2000/07,
Rossini-Respighi,Godfrey/Leidzen,La Boutique Fantasque,we,,0166,Chappell,,
Rozsa,Hawkins,Parade of the Charioteers,we,,0167,Robbins,,
"Rugolo, P",Seeman,Machito,we,,0640,Highland,,
Saint-Saens,Davis,"""Sampson and Delilah""(Theme)",we,,0676,Belwin,,
Saint-Saens,Elkus,Pre + Proc King Henry 8,we,,0168,Marks,,
Saint-Saens,Hindsley,Sym 3 Finale,we+org,,1399,Hindsley Trans,Apr /94,SP/94
Saint-Saens,Slocum,Symp #3-Finale,we+org,symphony,0947,TRN Music,,
"Saint-Saens, Camil","Hindsley, Mark H.",Danse Macabre,we,,1464,Hindsley Trans,2000/03,
"Sateren, L",,Look to this Day,we+choral,feature,0908,Schmitt/Hall..,,
Satie,Sebesky,Gymnopedie #3,we,elem band,0996,Studio 224,,
"Saucedo, Richard",,Rendezvous With the Other Side,we,,1559,Hal Leonard,2004/05,
Sauter & Finegan,Wallace,Midnight Sleighride,we/xmas,,1481,Zephyr,fall/00,
Saylor,,Ballata,we,,0307,Kendor,,
"Scalkottas, N","MdGinty, A",3 Gr Dances,we,,1184,Hal Leonard,,
"Schaeffer, D",,Rockero,we,elem band,1138,Barnhouse,,
"Schanke, D",,5 Mellow Winds,we+quintet,feature,0979,Chappell,,
"Schanke, D",,Latin Reeds,we+quintet,feature,0975,Barnhouse,,
Schinstine,,March to the Battle of Jazz,we+drum so,feature,0169,Southern,,
Schinstine,,Tympendium,we+timp,feature,0170,Southern,,
"Schmidt, H",Hayman,"""The Fantasticks""",we/broadwa,march size,0563,Chappell,,
"Schmidt, H",Reed,"""The Fantasticks""",we/broadwa,broadway,0678,Chappell,,
Schoenberg,,"Theme & Var, Op. 43a",we,,0744,Schirmer,,
"Schonberg, Claude-","Barker, Warren",Les Miserables,we/broadwa,broadway,1433,Hal Leonard,2000/02,
Schostakowich,Maganini,Satirical Dance,we,,0288,Edition Musicu,,
"Schreiner, A",Howard,Immer Kleiner,we+cl,,0842,Ludwig,,
"Schreiner, E",Osterling,"Worried Drummer, The",we+perc,feature,0911,Ludwig,,
Schubert,Laurendeau,March Militaire #'s 1+2,we/march,March,0171,Fischer,,
Schubert,Holmes,Moment Musical,we,,0172,Fitzsimons,,
Schuller,,Meditation,we,,0537,Associated,,
Schuller,,Study in Textures,we,,0851,Associated,,
Schuman,,"Be Glad Then, Amer",we,,1081,Merion,,
Schuman,,Chester,we,overture,0173,Merion,,
Schuman,"Owen, D",Circus Ov,we,overture,1044,Schirmer,,
Schuman,,George Washington Bridge,we,,0821,Schirmer,,
Schuman,,When Jesus Wept,we,,0174,Merion,,
"Scott, R",Lang,Mrch of the Slide Trmb,we,march,0175,Morris,,
Scouton,,Yankee Snap,we,march size,0494,Fillmore,,
Scriabin,Davis,2 Scriabin Etudes,we,,0176,Ludwig,,
Scriabin,"Davis, A",2 Scriabin Etudes,we,,0681,Ludwig,,
"Sears, J",,Space Pioneers,we,,0772,Remick,,
"Sebesky, G",,"Disco Kid, The",we,elem band,1143,Barnhouse,,
"Sebesky, G",,From Bach to Rock,we,elem band,0969,Studio 224,,
"Sebesky, G",,Rock Explosion,we,elem band,0865,Alfred Mus Co,,
"Sebesky, G",,Rock of Gilbraltar,we,elem band,0921,Alfred,,
"Sebesky, G",,Soul Swinger,we,elem band,0918,Alfred,,
"Seibert, B",,Brontosaurus Mrch,we,march size,0749,KSM,,
"Seibert, B",,More Blood + Guts Fanfare,we,,0748,KSM,,
"Seibert, B",,Sink or Swing March,we/march,march size,0758,KSM,,
Seitz,,Brooke's Triumphal March,we/march,march size,0495,Seitz,,
Severson/McDunn,,Concerto for Trmpt+Trmb w/ Band,we+tpt/tbo,feature,1125,Shawnee,,
"Shaffer, D",,Arabesque,we,,1297,Birch Island,,
"Shaffer, D",,Fanfare & Fest Celebration,we,,1345,Barnhouse,,
Sheafe,Yoder,Wash. + Lee Swing,we/march,march size,0319,,,
"Sheldon, R",,Dance Celestiale,we,,1337,Barnhouse,,
"Sheldon, R",,Metroplex: Three Postcards from Manhattan,we,,1569,Alfred,,
"Sheldon, R",,Visions of Flight,we,,1353,Barnhouse,    /91,1991
"Sherman, Rich +Rob",,"Small World, Happy Wander",we,,0770,Fun-way,,w
"Sherman, Richard&R","Mass, John",I Wan'na Be Like You,we,,1477,Hal Leonard,2000/07,
"Sherman,Sherman",Reed,"""Mary Poppins""(Highlights)",we/film,broadway,1007,Hansen,,
Sherman/Fields/Lew,Seredy,You Gotta be a FootBall Hero,we,march size,0496,Fischer,,
Sherman/Sherman,Kostal,"""Mary Poppins""",we/film,broadway,0297,Wonderland,,
"Shore, Howard","Lopez, Victor",Fellowship of the Ring Suite,we/film,,1519,Belwin,2003/04,
"Shore, Howard","Lopez, Victor","Symphonic Suite from ""Lord of the Rings""",we,,1575,,,
Shostakovich,Curnow,"""Symph #6"" (Presto)",we,,1346,Jenson,,
Shostakovich,Hunsberger,"""The Gadfly""(Folk Festival)",we,,1023,Boston Music,,
Shostakovich,,Festive Ov,we,overture,0725,MCA,,
Shostakovich,Hunsberger,"Festive Ov, Op. 96",we,overture,1103,MCA Music,,
Shostakovich,Suchoff,Fortinbras Mrch,we,march,0670,MCA,,
Shostakovich,Suchoff,Hamlet Suite,we,,0987,MCA Music,,
Shostakovich,Righter,Symp #5-Finale,we,Symphony,0177,Boosey +Hawkes,,
"Shostakovich, Dmitri",,"Fire of Eternal Glory, The",,,1596,,,
"Shostakovich, Dmitri",Reynolds,Folk Dances,we,,1587,Carl Fischer,2006/07,
"Shostakovich, Dmitri",Reynolds,Prelude,,,1598,,,
Sibelius,Winterbottom,Valse Triste,we,,0178,Boosey +Hawkes,,
Sigman,,Ballerina,we,march size,0497,Leonard,,
Simeone,,Fl Cocktail,we + flute,feature,0180,Shawnee Press,,
"Simon, F",,March of the Majorettes,we/march,march size,0498,Kjos,,
"Simon, F",,Willow Echoes,we+cornet,feature,0179,Fillmore,,
"Simons, M",Morrissey,"Peanut Vender, The",we,,0181,Marks,,
"Siravo, G",,Fant on the Blues,we,,0913,Hudson Valley,,
Sissle/Blake,Lowden,Eubie!,we,,1150,Warner Bros,,
Smetana,Clark,"""The Bartered Bride""(3 Dances)",we,,0182,Schirmer,,
Smetana,"Reynolds, P",Opera Song,we,opera,0779,Luverne,,
"Smetana, B",Nelhybel,3 Rev Mrches,we,march,0643,Columbo,,
Smith,,"Incontrada, Adoration + Praise",we,,1161,,,
"Smith, Claude T",,Anthem for Winds + Perc,we,,1318,Jenson,,
"Smith, Claude T",,"Distant Trumpet, The",we+trp,feature,1278,Wingert-Jones,,
"Smith, Claude T",,Emperata Ov,we,overture,1255,Wingert-Jones,,
"Smith, Claude T",,"Eternal Father, Strong to Save",we,,1066,Wingert-Jones,,
"Smith, Claude T",,"Fanfare,Ballade,+ Jubilee",we,,1205,Jenson,,
"Smith, Claude T",,Flight,we,,1302,Wingert-James,,
"Smith, Claude T",,Greensleeves,we,,1096,Jenson,,
"Smith, Claude T",,Horizons West,we,mrch,1145,Jenson,,
"Smith, Claude T",,Joyance,we,,1067,Wingert-Jones,,
"Smith, Claude T",,Prelude for Band,we,,1149,Jenson,,
"Smith, Claude T",,Santiago Carnival,we,,1158,Jenson,,
"Smith, Claude T",,Sym #1 for Band,we,symphony,1107,Jenson,,
"Smith, Claude T",,Symp March on English Hymn Tune,we/march,march,1258,Jenson,,
"Smith, Claude T",,Symp Warm-Ups for Band,we,,1256,Jenson,,
"Smith, Claude T",,Var on Hymn by Louis Bourgeios,we,,1261,Jenson,,
"Smith, Claude T",,"Zia, Zia!",we,march,1284,Jenson,,
"Smith, H",,Somersault,we,,0747,Frank Music Co,,
"Smith, Robert W.",,Angels From the Realms of Glory,we,,1458,Warner Bros,2000/02,
"Smith, Robert W.",,Inchon,we,,1518,Belwin,2003/04,
"Smith, Robert W.",,The Inferno,we,,1509,Warner Bros.,2002/04,
"Snyder, T",Tyra,Who's Sorry Now?,we,march size,0691,Mills,,
Somers,,Opera in Rhythm,we,opera,0183,Chappell,,
Sousa,,Ancient & Honorable Artillery Co,we/march,,1381,Sam Fox,,
Sousa,Rogers,At The Movies,we,,1561,Southern,2004/05,
Sousa,Gore,"Beau Ideal Concert March, The",we/march,march,1410,Alfred,2000/02,
Sousa,ed. Fennell,Bullets and Bayonets,we,,1579,Ludwig,,
Sousa,,"Crusader mrch,The",we/march,march size,0500,Fischer,,
Sousa,,"Dauntless Battalion, The",we/march,march size,0575,Church,,
Sousa,,El Capitan,we/march,march size,0501,,,
Sousa,,El Capitan,we/march,march,1273,Church,,
Sousa,,Fairest of the Fair,we/march,march size,0502,Church,,
Sousa,Fennell,"Gallant 7th March, The",we/march,march,0950,Sam Fox,,
Sousa,,George Wash BiCentiennal March,we/march,march,0962,Sam Fox,,
Sousa,Fennell,Golden Jubilee,we/march,march,0966,Sam Fox,,
Sousa,,Hands Across the Sea,we/march,march,0261,John Church CO,,
Sousa,Contorno,Hands Across the Sea,we/march,elem band,1141,Barnhouse,,
Sousa,Laurendeau,"Internt'l Congress(Gr. Fant), Th",we/march,march,0184,Fischer,,
Sousa,,King Cotton,we/march,march size,0503,Church,,
Sousa,,Manhattan Beach,we/march,march size,0508,Church,,
Sousa,Fennell,Manhattan Beach,we/march,march,1167,Church,,
Sousa,,Manhattan Beach March,we/march,march,0280,John Church CO,,
Sousa,,New Mexico March,we/march,,1554,Belwin,2004/05,
Sousa,Fennell,Nobles of the Mystic Shrine,we/march,march,1166,Sam Fox,,
Sousa,Klotzman,Pres. Garfield's Inaugural Mrch,we/march,200th Cele,0983,JCPenneys,,
Sousa,Fennell,"Pride of the Wolverines, The",we/march,march,1046,Sam Fox,,
Sousa,Fennell,Riders for the Flag,we/march,march,1129,Sam Fox,,
Sousa,,Sabre & Spurs,we/march,march size,0504,Fox,,
Sousa,,Semper Fidelis,we/march,march size,0505,Fischer,,
Sousa,,Semper Fidelis,we/march,march size,1212,Fischer,,
Sousa,Barker,Sousa!,we/march,march,1183,Jenson,,
Sousa,,Stars & Stripes Forever,we/march,march size,0506,Church,,
Sousa,,Stars & Stripes Forever Lg Arr.,we/march,march,1001,Heritage,,
Sousa,,Stars & Stripes Forever Sm Arr.,we/march,march,1000,,,
Sousa,Brion/Schissel,Stars and Stripes Forever,we/march,,1528,Willow-Blossom,2003/04,
Sousa,Brion & Schissel,The Liberty Bell,we/march,,1508,Willow-Blossom,2002/04,
Sousa,Brion & Schissel,The Untitled March,we/march,,1494,C.L. Barnhouse,2001/03,
Sousa,Brion & Schissel,"Thunderer, The",we/march,,1516,Barnhouse,2003/04,
Sousa,Lake,"US Field Artillery March, The",we/march,march size,0499,Fischer,,
Sousa,Fennell,"Wash Post March, The",we/march,march,1279,Fischer,,
"Sparke, Philip",,Shalom,we,,1525,Anglo,2003/04,
"Spears, J",,Canticles,we,,1179,Barnhouse,,
"Spears, J",,Chatham Ov.,we,overture,0989,Southern,,
"Spears, J",,Scenario,we,overture,1249,Southern,,
"Spears, J",,"Wilderness Ov, A",we,overture,1045,Barnhouse,,
"Spears, J",,Wind Dancer,we,,1367,Composers Edit,,
"Spino, P",,Sound Dramas for Band,we,,1018,Boonin,,
"Spohr, L",Simon,"Notturno, Op.34",we,,0636,Broude,,
"Stamp, Jack",,Four Maryland Songs,we,,1584,,2006/07,
"Starer, R",,Cumulations for Band,we,,1015,MCA Music,,
"Starer, R",,"Patch of Grief, A",we,,1014,MCA Music,,
"Starer, R",,Prelude & Paragrams,we,,1017,Oxford,,
"Starer, R",,Resolutions,we,,1013,MCA Music,,
"Starer, R",,Successions & Ascensions,we,,1016,MCA Music,,
Stauffer,,Fugue n' Swing,we,,0299,Mills,,
Steffe-Howe,Kinyon,Battle Hymn of the Republic,we,elem band,0863,Alfred Mus Co,,
Steinohrt,,Pisces,we,,1240,Kjos,,
Sterling/Stoner,Yoder,Take off yr hat/no flag like our,we,march,0290,Rayster,,
"Still, W",,Folk Suite for Band,we,,0852,Bourne,,
"Stone,Bono,Bahler","Holcombe, B",Sounds of Sonny + Cher,we,,0899,Charter,,
Stone/Stapp,,Chattanoogie Shoe Shine Boy,we,march size,0509,Leonard,,
Stouffer,,Ti-Teka-Tah!,we,elem band,0707,Luverne,,
"Stout, John W.",,Bacchanal,we,,1403,,2000/02,
"Straus, O",Lampe,"Chocolate Soldier, The",we,,0185,Remick,,
"Straus, O",Alford,"Hero, My",we,March,0186,Witmark,,
"Strauss, R",Davis/Fennell,"Allerseelen, Op. 10, #8",we,,1294,Ludwig,,
"Strauss, R",Farkas,Concerto for Horn No.1,we + hn,,1394,Ludwig,FALL/93,10/93
"Strauss, R",Walters,Till Eulenspiegel's Merry Pranks,we,,0187,Rubank,,
Stravinsky,,"""Petroushka""(3 Dances)",we,,0941,manuscript,,
Stravinsky,Goldman,"""The Firebird""(Berceuse+Finale)",we,,0188,Marks,,
Stravinsky,Croley,Chant des Bateliers du Volga,we,,0826,Autograph,,
Stravinsky,,Circus Polka,we,,0832,Associated,,
Stravinsky,Nelson,Ebony Concerto,we,,1035,Morris,,
Stravinsky,Erickson,"Stravinsky Suite, A",we,,0761,Chappell,,
Styne,Briegel,Vict'ry Polka,we,march size,0510,Chappell,,
"Sullivan, A",Mackarras/Duthoit,Pineapple Poll,we,,1246,Chappell,,
"Sullivan, A",O'Brien,"Pirates of Penzance, The",we,overture,1285,TRN Mus Pub,,
"Surinach, C",,Sinfonietta Flamenca,we,,0860,Associated,,
Susato,Mattimore,Renaissance Dance Suite,we,,0755,Manuscript,,
"Svarda, W",,Dissonants for Band,we,,0887,Studio P/R Inc,,
Swearingen,,Dawn of a New Day,we,,1400,Barnhouse,Apr /94,SP/94
Swearingen,,In All Its Glory,we,,1378,Barnhouse,  03/30,
Swearingen,,Into the Joy of Spring,we,,1515,Barnhouse,2003/04,
"Swearingen, J",,Invicta,we,overture,1250,Barnhouse,,
"Sweeley, C",Lasey,Conway,we,march size,0615,Sweeley,,
"Tatgenhorst, J",,Montage,we,,0840,Studio P/R Inc,,
Tchaikovsky,Lake,"""1812""(Ov)",we,overture,1248,Fischer,,
Tchaikovsky,Lake,"""The Nutcracker""(Part I)",we,,0194,Fischer,,
Tchaikovsky,Lake,"""The Nutcracker""(Part II)",we,,0195,Fischer,,
Tchaikovsky,Lake,"""The Nutcracker""(Part III)",we,,0196,Fischer,,
Tchaikovsky,Bellis,Entry March,we,,1475,Curnow Music,2000/07,
Tchaikovsky,Nelson,Francesca da Rimini,we,,0193,Barnhouse,,
Tchaikovsky,"Curnow, James",Suite from the Nutcracker,we,,1445,Jenson Publica,2000/02,
Tchaikovsky,Safarnek,Symp #4 in F-minor-Finale,we,symphony,1291,Fischer,,
Tchaikowsky,Yoder,Tchaikowsky Melodies(Selections),we,,0197,Belwin,,
Teike,,Old Comrades,we/march,march size,0511,,,
Tepper/Bennett,,"Naughty Lady of Shady Lane, The",we,march size,0512,Leonard,,
Terschak,Puthnik,Murillo (Allegro de Condert),we + flute,feature,0190,Byron-Douglas,,
Texidor,,Amparito Roca,we/march,march,0191,Boosey +Hawkes,,
"Theilman, R",,Chelsea Suite,we,,1163,Ludwig,,
"Thomas, Ambroise","Safranek, V.F.",Raymond (The Queen's Secret),we,,1455,The Detroit Co,2000/02,
"Thomas, D",,Spinning Wheel,we,march size,0768,Minnesingers,,
Ticheli,,Amazing Grace,we,,1425,Manhattan Beac,2000/02,
Ticheli,,Blue Shades,we,,1560,Manhattan,2004/05,
Ticheli,,Cajun Folk Songs,we,,1372,Manhattan,1992/09,11/92
Ticheli,,Fortress,we,,1365,Manhattan,,
Ticheli,,Postcard,we,,1512,Manhattan Beac,2002/05,
Ticheli,,Simple Gifts,we,,1514,Manhattan Beac,2003/04,
Ticheli,,Sun Dance,we,,1524,Manhattan Beac,2003/04,
Tillman,,Slipping Around,we,march size,0513,Leonard,,
Tobani,Laurendeau,"""Highwayman, The""",we,,1074,Fischer,,
Tobani,,"""Providence""(Sacred Fantasia)",we,,0192,Fischer,,
Traditional,"Dedrick, Chris",A Canadian Brass Noel,we/xmas,,1418,Hal Leonard Co,2000/02,
Traditional,Vaughan Williams,A Vaughan Williams Christmas,we/xmas,,1457,Warner Bros,2000/02,
Traditional,"Davis, Chip",Angels We Have Heard on High,we/xmas,,1430,Hal Leonard,2000/02,
Traditional,"Ployhar, James D.","Christmas ""Pop"" Song-a-long",we/xmas,,1414,Belwin,2000/02,
Traditional,"Davis, Chip",God Rest Ye Merry Gentlemen,we/xmas,,1419,Dots and Lines,2000/02,
Traditional,"Reed, Alfred",Greensleeves,we/xmas,,1461,C.L. Barnhouse,2000/03,
Traditional,"Reed, Alfred",Tarantella,we,,1442,Barnhouse,2000/02,
Tschaikowsky,Laurendeau,Marche Slave,we,,1380,Fischer,,
Tscheskoff,Houseknecht,Salvation is Created,we,,0202,Kjos,,
"Tubb, M",,Concert Piece for Band,we,feature,0833,Theo. Presser,,
Tull,,A Passing Fantasy,we,,1558,Southern Music,2004/05,
Tull,,Sketches on a Tudor Psalm,we,,0905,Boosey +Hawkes,,
"Turina, Joaquin",,Five Miniatures,,,1599,,,
Turlet,Seredy,French National Defile March,we/march,march size,0514,Fischer,,
"Tuthill, B",,Ov Brilliante Op. 19,we,overture,1366,Bourne Co,,
"Udell, B",,Chorale Var,we,,1287,Kendor,,
"Van Alstyne, E",,Memories,we,march size,0617,Remick,,
"Van Alstyne, E",Redfield,"Shade of Old Apple Tree, In the",we,march size,0620,Remick,,
Van Auken,,Bill Bailey,we,march size,0458,Leonard,,
"Van der Roost, Jan",,Puszta,we,,1589,de haske,,
Van Heusan,Osser,"Dream Sonata, My",we,,0198,Educ Mus Ser,,
Various,,Bicentennial Musical Celebration,Choral,compile,0983,JCPenneys,,
Vaughan Williams,,Flourish for Wind Band,we,,0946,Oxford Univ Pr,,
Vaughan Williams,,Folk Song Suite,we,,0243,Boosey + CO,,
Vaughan Williams,,O How Amiable,we,,1360,Oxford Univ Pr,,
Vaughan Williams,Curnow,Pre on 3 Welsh Hymn Tunes,we,,1251,Vaughn William,,
Vaughan Williams,Beeler,Rhosymedre,we,,1588,Galaxy,,
Vaughan Williams,,Scherzo Alla Marcia,we,symphony,0786,Oxford U. Pres,,
Vaughan Williams,,Sea Songs,we,,1265,Boosey +Hawkes,,
Vaughan Williams,"Reed, A",Sine Nomine,we,march,1061,Schmitt Music,,
Vaughan Williams,,Toccata Marziale,we,,0223,Boosey+Hawkes,,
Velke,,Concertino for Band,we,,0271,Templeton,,
Verrall,,Holiday Moods,we,,0199,Boston Music,,
Verrall,,"Northern Ov, A",we,overture,0200,Boston Music,,
Vivaldi,Reed/Baron,Concerto in C-major for Picc,we+picc,feature,1164,Franco Columbo,,
"Volgeli, D",Bencriscutto,All Things Considered,we,,1312,Kjos,,
von Suppe,Tobani,"""Pique Dame""(Ov)",we,overture,1073,Fischer,,
von Suppe,"Fall, E",Light Calvary Ov,we,overture,0189,Rubank,,
von Suppe,Fillmore,"Morning, Noon,+ Night in Vienna",we,overture,1268,Fillmore,,
von Suppe,Fillmore,Poet & Peasant,we,overture,0285,Fischer,,
Votto,,No Name,we,,0940,,,
Wagner,Houseknecht,Awake,we,,0202,Kjos,,
Wagner,Tobani,Die Meistersinger von Nurnberg,we,overture,0201,Fischer,,
Wagner,Cailliet,Elsa's Procession to the Cath.,we,,0203,Remick,,
Wagner,"O'Neill, C",Entry of the Gods into Valhalla,we,opera,1369,Fischer,  04/92,
Wagner,Jurrens,"Feast of the Apostles, The",we,,1269,Jenson,,
Wagner,Winterbottom,Homage Mrch,we,march,0204,Bossey +Hawkes,,
Wagner,"Coulliett, L",Invocation of Alberich,we,,0669,Fox,,
Wagner,Bainum,Liebestod,we,,0547,Kjos,,
Wagner,Drumm,Lohengrin Intro (Act III),we,Overture,0205,Fischer,,
Wagner,Meyrelles,Rienzi,we,overture,0206,Fischer,,
Wagner,Fall,Tannhauser,we,overture,0207,Rubank,,
Wagner,Leidzen/Goldman,Trauersinfonie,we,symphony,0305,AMP,,
"Wagner, J. F.",Laurendeau,Under the Double Eagle,we,march size,0516,Fischer,,
"Walters, H",,Badinage for Band,we,feature,0208,Rubank,,
Walton,Duthoit,Crown Imperial,we,,0986,Boosey +Hawkes,,
Walton,Bocook,Crown Imperial,we,,1476,Hal Leonard,2000/07,
"Ward, R",,4 Abstractions for Band Nos.2+3,we,,1173,Highgate Press,,
"Ward, R",,Antiphony for Winds,winds,feature,0909,Highgate,,
"Ward, R",,From Sea to Shining Sea,we,,0801,Witmark,,
"Ward, R",,Interweaving Lines,we,,1174,Highgate Press,,
"Ward, R",,Jagged Rhythm in Fast tempo No.1,we,,1172,Highgate Press,,
"Ward, R",Leist,Jubilation,we,Overture,0212,Galaxy,,
"Ward, R",,Prairie Ov,we,overture,0209,Galaxy,,
"Ward, SA","Dragon, G","America, the Beautiful",we,,0704,Sam Fox,,
Ware/Allen,,Rock & Roll Waltz,we,march size,0517,Leonard,,
"Warren, B",,3 Sketches for Band,we,,1051,Manuscript,,
"Warren, B",,Defiant Concerto,we,feature,1050,manuscript,,
Warrington,,Dixieland...Front + Center,we,Feature,0298,Shapiro-Bernst,,
Warrington,,Original Dixieland Concert,we,We+soli,0210,Marks,,
"Washburn, R",,Pageant Royale,we,,1338,Boosey +Hawkes,,
"Watson, W",,Antiphony & Chorale,we,,0839,Ludwig,,
"Wayne, M",Sciacca,Chiquita,we,march size,0585,Feist,,
"Wayne, W",Sciacca,Ramona,we,march size,0601,Feist,,
"Webb, J",,MacArthur Park,we,,0936,Warner Bros.,,
Webber,"Barker, W","""Phantom of the Opera""(Selection",we/broadwa,broadway,1357,Hal Leonard,  03/92,03/92
Webber,Nowak,Andrew L Weber:A Symp Portrait,we,broadway,1305,Hal Leonard,,
Weber,Reed,Concertino (for Clar+band),we+clar,feature,0531,Kendon,,
Weber,Reed,Concertino for Bb Clar,we+Bb clar,feature,0213,Rubank,,
Weber,Fall,Invitation a'La Valse,we,,0214,Rubank,,
Weber,Smith,Peter Schmoll,we,,0215,Pro Art,,
"Weed, M",,Intro + Scherzo,we,,0216,Kjos,,
Weik,,Grotto Mrch,we,march size,0518,Weik,,
Weldon,,Gate City,we,march size,0519,Menges,,
Wendland,Eisenberg,Encampment,we,march size,0520,Dalbey,,
Wendland,Eisenberg,Line Up,we,march size,0566,Dalbey,,
Wendland,Eisenberg,On the Field,we,march size,0573,Dalbey,,
Werle,,Charlie Chaplin Band Portrait,we,,0844,Bourne,,
Werle,,Concertino for 3 Brass + Band,we+3 Brass,feature,0829,Bourne,,
"Werle, FE",,Toast of the Latins,we,,0245,Mills,,
"Westergaard, P",,Tuckets & Sennets,we,,0859,Continuo Music,,
"Whear, P",,Contrapunctus for Band,we,,0546,LeBlanc,,
"Whear, P",,Czech Suite,we,,0291,Ludwig,,
"Whear, P",,Elsinore Ov,we,overture,0838,Ludwig,,
"Whear, P",,Intro & Invention,we,,0217,Ludwig,,
"Whear, P",,Jedermann,we,Overture,0218,Ludwig,,
"Whear, P",,Wycliffe Var,we,,0782,Ludwig,,
"Whitacre, Eric",,Noisy Wheels of Joy,we,,1552,Hal Leonard,2004/05,
"Whitacre, Eric",,October,we,,1567,BCM,2006/07,
"White, D",,Dichotomy,we,,0025,Shawnee,,
Whiting,McCabe,You're Still an old sweatheart..,we,march size,0619,Remick,,
"Wiggens, A",,Song & Dance Man,we+clar/bn,feature,0877,kendor,,
"Wilder, A",Barrows,Beguinner's Luck,we,,0219,Shawnee Press,,
"Wiley, C",,"Antonito, Paso Doble",we,,0907,TRN,,
"Williams, C",,"""Fiesta"" (Symp Dance No. 3)",we,symphony,0672,Sam Fox,,
"Williams, C",,Dedicatory Ov,we,Overture,0296,Marks,,
"Williams, C",,Dramatic Essay,we + trp,feature,1154,Summy-Birchard,,
"Williams, C",,Fanfare & Allegro,we,,0220,Summy,,
"Williams, C",,Festival,we,,0551,Summy-Birchard,,
"Williams, C",,Hill Country Ballad,we,,0221,Witmark,,
"Williams, C",,Killian Concert March,we/march,march,0722,Schmitt,,
"Williams, C",,"Sinfonians, The",we,march,1200,Belwin Mills,,
"Williams, C",,"Strategic Air Command, The",we,march,1199,Southern,,
"Williams, C",,Symphonic Suite,we,,0765,Summy+Birchard,,
"Williams, E",,Prologue,we,,0841,Ludwig,,
"Williams, E",,Sym in C-minor Mvt. 2,we,Symphony,0222,Williams,,
"Williams, H",Teague,Royce Hall Suite,we,,0554,Associated,,
"Williams, J","Cacavas, J","""E.T.""(Selections)",we/film,,1222,Music Corp Am.,,
"Williams, J",Lavender,"""Jurassic Park"" Sndtrk Highlight",we/film,,1396,Jenson,,WI/94
"Williams, J",Burden,"""Star Wars""(Medley)",we/film,,1068,Fox Fanfare,,
"Williams, J",Cacavas,Close Encounters of 3rd Kind(Th),we/film,,1079,Gold Horizon,,
"Williams, J","Smith, Robert W.",Fantasy of Flight,we,,1522,Belwin,2003/04,
"Williams, J","Lavender, Paul",Four Symphonic Themes,we,,1503,Hal Leonard,2002/03,
"Williams, J","Smith, Robert",Harry Potter Symphonic Suite,we/film,,1536,Belwin,2003/04,
"Williams, J","Lavender, Paul",Hymn to the Fallen,we/film,,1501,Hal Leonard,2001/04,
"Williams, J",Higgins/Lavender,J. Williams: The Symp Marches,we,march,1275,Jenson,,
"Williams, J",Higgins,John Williams:Evening at Pop,we,,1350,Warner Bros.,,
"Williams, J",Curnow,Liberty Fanfare,we,,1277,Warner Bros.,,
"Williams, J",Curnow,"Mission,The",we,,1309,Jensen,,
"Williams, J",Curnow,Olympic Fanfare & Theme,we,,1254,Warner-Tamberl,,
"Williams, J",Curnow,"Olympic Spirit, The",we,,1320,Warner Bros.,,
"Williams, J",Curnow,Parade of the Ewoks,we/film,march,1202,Warner/Tamerla,,
"Williams, J",Hunsberger,Star Wars Trilogy,we/film,,1555,Warner Bros.,2004/05,
"Williams, J",Curnow,The Cowboys,we/film,,1478,Warner Bros.,2000/07,
"Williams, J",Jay Bocook,Young Person's Guide to J. Will.,we,,1543,Hal Leonard,2003/04,
"Williams, J.","Custer, C.",Schindlers List Theme,we/film,,1407,Jenson,2000/02,
"Williams, Jerry",,Deck the Halls with Old Composer,we/xmas,,1413,C.L. Barnhouse,2000/02,
"Williams, M",,Classical Gas,we,march size,0756,Hal Leonard,,
"Williams, P",Nestico,Rhap for C-band + jazz ens,we+jazz en,,0984,Hal Leonard,,
Williams/Ascher,Brockner,Movin' Right Along,we,elem band,1148,Welbeck,,
"Willis, R",,Aria & Toccata,we,,0837,Belwin Mills,,
Willson,Lang,"""Music Man""(Selections)",we,broadway,0244,Frank,,
Willson,,76 Trmb,we,march size,0521,Frank,,
Willson,Peterson,Centennial,we,march,0224,Plymouth,,
"Willson, Meredith",Ricketts,Seventy Six Trombones,we,,1551,Hal Leonard,2004/05,
"Wilson, Dana",,Shortcut Home,,,1595,,,
Wiseman,,Have I told You Lately I Love Yo,we,march size,0522,Leonard,,
Wonder,"Cook, P",You are the sunshine of my life,we,,0995,Jobete Music,,
"Wood, H",,Mannin Veen,we,,0227,Boosey +Hawkes,,
"Wood, H","Brown, C","Manx Ov, A",we,overture,0226,Boosey +Hawkes,,
"Wood, H",Hawkins,Montmartre March,we,March,0266,Robbins,,
"Woods, HJ",,Master Councilor,we,march size,0574,Church,,
Woods/Schoenfeld,,"4 Leaf Clover, A",we,march size,0523,Remick,,
"Woolfenden, Guy",,French Impressions,we,,1594,,,
"Woolfenden, Guy",,Gallimaufry,,,1597,,,
